Location,metric,raw_value,metric_id,normalised_value,city_order
MountGinini,Wind gust,46.07936507936508,avg_WindGustSpeed,0.9095916516686056,48
MountGinini,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,48
MountGinini,Rain tomorrow rate,0.2923456790123457,rain_probability,0.7424809371172277,48
Newcastle,Max temp,24.144062657908034,avg_MaxTemp,0.5331462078337594,19
Newcastle,Min temp,13.707293868921775,avg_MinTemp,0.5142088770348294,19
Newcastle,Rainfall,3.3060547813551175,avg_Rainfall,0.5408825034225879,19
Newcastle,Humidity 3pm,56.91389830508475,avg_Humidity3pm,0.7190384495457899,19
Newcastle,Wind gust,40.00855815115693,avg_WindGustSpeed,0.6002372316907207,19
Newcastle,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,19
Newcastle,Rain tomorrow rate,0.24045801526717558,rain_probability,0.5706088800854898,19
Nhil,Max temp,22.379489436619718,avg_MaxTemp,0.4567368079004585,28
Nhil,Min temp,8.983362676056338,avg_MinTemp,0.2716663445229419,28
Nhil,Rainfall,0.9283318623124448,avg_Rainfall,0.07732570789219871,28
Nhil,Humidity 3pm,45.08450704225352,avg_Humidity3pm,0.4589566989878843,28
Nhil,Wind gust,42.54008810572687,avg_WindGustSpeed,0.7292382014158073,28
Nhil,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,28
Nhil,Rain tomorrow rate,0.1522887323943662,rain_probability,0.2785580356152857,28
NorahHead,Max temp,22.691403162055334,avg_MaxTemp,0.47024326957853796,26
NorahHead,Min temp,15.417772277227723,avg_MinTemp,0.6020305975509955,26
NorahHead,Rainfall,3.5525474525474525,avg_Rainfall,0.5889382932139611,26
NorahHead,Humidity 3pm,67.71039603960396,avg_Humidity3pm,0.9564109371319481,26
NorahHead,Wind gust,42.334320987654316,avg_WindGustSpeed,0.7187527802494574,26
NorahHead,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,26
NorahHead,Rain tomorrow rate,0.28007889546351084,rain_probability,0.7018485946773046,26
NorfolkIsland,Max temp,21.770657507360156,avg_MaxTemp,0.4303732193490056,29
NorfolkIsland,Min temp,16.804121687929342,avg_MinTemp,0.6732104440156881,29
NorfolkIsland,Rainfall,3.092,avg_Rainfall,0.49915074918063984,29
NorfolkIsland,Humidity 3pm,67.74852652259332,avg_Humidity3pm,0.9572492763621883,29
NorfolkIsland,Wind gust,42.388778550148956,avg_WindGustSpeed,0.7215278129359131,29
NorfolkIsland,Sunshine,6.990610859728506,avg_Sunshine,0.19386421454525332,29
NorfolkIsland,Rain tomorrow rate,0.3199214916584887,rain_probability,0.8338227186067744,29
Nuriootpa,Max temp,21.72589073634204,avg_MaxTemp,0.42843473242810115,30
Nuriootpa,Min temp,9.39353919239905,avg_MinTemp,0.2927261879010415,30
Nuriootpa,Rainfall,1.3880816714150048,avg_Rainfall,0.16695774472309155,30
Nuriootpa,Humidity 3pm,45.44645406949072,avg_Humidity3pm,0.46691448940680996,30
Nuriootpa,Wind gust,40.672413793103445,avg_WindGustSpeed,0.6340657950912744,30
Nuriootpa,Sunshine,7.635828343313373,avg_Sunshine,0.39743088657544845,30
Nuriootpa,Rain tomorrow rate,0.1976303317535545,rain_probability,0.4287469897614052,30
PearceRAAF,Max temp,26.352677651905253,avg_MaxTemp,0.6287834669392827,9
PearceRAAF,Min temp,12.501033591731266,avg_MinTemp,0.4522754130292263,9
PearceRAAF,Rainfall,1.5976968398500269,avg_Rainfall,0.20782395961974737,9
PearceRAAF,Humidity 3pm,41.205366357069146,avg_Humidity3pm,0.37366966454570144,9
PearceRAAF,Wind gust,43.63185935002664,avg_WindGustSpeed,0.7848723640605704,9
PearceRAAF,Sunshine,8.924102564102563,avg_Sunshine,0.8038825132909446,9
PearceRAAF,Rain tomorrow rate,0.18740399385560677,rain_probability,0.394873394313865,9
Penrith,Max temp,24.74341913550267,avg_MaxTemp,0.5590994911810535,15
Penrith,Min temp,12.582083739045766,avg_MinTemp,0.45643680048123025,15
Penrith,Rainfall,2.146870379497289,avg_Rainfall,0.31488989408593115,15
Penrith,Humidity 3pm,48.81054201889607,avg_Humidity3pm,0.5408775415599004,15
Penrith,Wind gust,31.877680311890835,avg_WindGustSpeed,0.18590631528656149,15
Penrith,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,15
Penrith,Rain tomorrow rate,0.20349684312773192,rain_probability,0.448179149637245,15
Perth,Max temp,25.01162687886826,avg_MaxTemp,0.5707134001312681,13
Perth,Min temp,12.896153846153846,avg_MinTemp,0.4725622172272068,13
