Location,direction,count,direction_order
Dartmoor,NW,173,14
Darwin,NW,210,14
GoldCoast,NW,111,14
Hobart,NW,448,14
Katherine,NW,60,14
Launceston,NW,500,14
Melbourne,NW,46,14
MelbourneAirport,NW,37,14
Mildura,NW,110,14
Moree,NW,45,14
MountGambier,NW,94,14
MountGinini,NW,228,14
Newcastle,NW,0,14
Nhil,NW,91,14
NorahHead,NW,49,14
NorfolkIsland,NW,60,14
Nuriootpa,NW,107,14
PearceRAAF,NW,50,14
Penrith,NW,127,14
Perth,NW,97,14
PerthAirport,NW,97,14
Portland,NW,117,14
Richmond,NW,57,14
Sale,NW,135,14
SalmonGums,NW,142,14
Sydney,NW,47,14
SydneyAirport,NW,112,14
Townsville,NW,10,14
Tuggeranong,NW,274,14
Uluru,NW,34,14
WaggaWagga,NW,79,14
Walpole,NW,222,14
Watsonia,NW,59,14
Williamtown,NW,154,14
Witchcliffe,NW,95,14
Wollongong,NW,118,14
Woomera,NW,65,14
Adelaide,NNW,125,15
Albany,NNW,0,15
Albury,NNW,103,15
AliceSprings,NNW,101,15
BadgerysCreek,NNW,27,15
Ballarat,NNW,126,15
Bendigo,NNW,100,15
Brisbane,NNW,28,15
Cairns,NNW,10,15
Canberra,NNW,313,15
Cobar,NNW,81,15
CoffsHarbour,NNW,55,15
Dartmoor,NNW,178,15
Darwin,NNW,160,15
GoldCoast,NNW,44,15
Hobart,NNW,495,15
Katherine,NNW,30,15
Launceston,NNW,647,15
Melbourne,NNW,79,15
MelbourneAirport,NNW,61,15
Mildura,NNW,74,15
Moree,NNW,40,15
MountGambier,NNW,137,15
MountGinini,NNW,72,15
Newcastle,NNW,0,15
Nhil,NNW,47,15
NorahHead,NNW,32,15
NorfolkIsland,NNW,35,15
Nuriootpa,NNW,56,15
PearceRAAF,NNW,56,15
Penrith,NNW,57,15
Perth,NNW,44,15
PerthAirport,NNW,44,15
Portland,NNW,136,15
Richmond,NNW,58,15
Sale,NNW,31,15
SalmonGums,NNW,103,15
Sydney,NNW,39,15
SydneyAirport,NNW,42,15
Townsville,NNW,26,15
Tuggeranong,NNW,146,15
Uluru,NNW,48,15
WaggaWagga,NNW,61,15
Walpole,NNW,63,15
Watsonia,NNW,123,15
Williamtown,NNW,15,15
Witchcliffe,NNW,103,15
Wollongong,NNW,83,15
Woomera,NNW,85,15
